species,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,coordinateUncertaintyInMeters
Xenoglaux loweryi,-5.695999,-77.81149,2023-09-13,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-10-13,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-10-16,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-10-25,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-10-25,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-10-16,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-10-13,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.7294,-77.9409,2023-11-09,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.732812,-77.95475,2023-11-09,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-11-19,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.728435,-77.94374,2023-11-09,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-11-16,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-11-08,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-11-25,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.734892,-77.926216,2023-11-09,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-11-16,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.683328,-77.80441,2023-12-07,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-12-07,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-12-07,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-12-07,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2023-12-07,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2023-12-07,2023,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.675491,-77.766594,2022-01-18,2022,HUMAN_OBSERVATION,5.0
