species,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,coordinateUncertaintyInMeters
Cinclodes palliatus,-11.581153,-76.357285,2024-11-16,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.573121,-76.25955,2024-11-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.573026,-76.25957,2024-11-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-11-20,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-11-20,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-11-20,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-11-20,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.598307,-76.20147,2024-11-24,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.737766,-76.25577,2024-11-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-11-20,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.583633,-76.33026,2024-11-10,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-11-20,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-12-28,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.645498,-76.10386,2024-12-11,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-12-28,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.639527,-76.1497,2024-12-10,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580259,-76.13225,2024-12-06,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.637677,-76.11257,2024-12-11,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.623946,-76.179276,2024-12-09,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.623709,-76.18161,2024-12-09,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.575161,-76.13796,2024-12-06,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.569785,-76.15145,2024-12-06,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.63896,-76.105774,2024-12-11,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.62406,-76.166275,2024-12-08,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.633406,-76.149605,2024-12-10,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-12-28,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580509,-76.26214,2023-01-22,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580509,-76.26214,2023-01-22,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580509,-76.26214,2023-01-22,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580509,-76.26214,2023-01-22,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.564055,-76.281101,2023-02-27T10:15,2023,HUMAN_OBSERVATION,31137.0
Cinclodes palliatus,-11.577478,-76.35644,2023-02-27,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-12.169845,-75.63094,2023-04-21,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-04-29,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.583633,-76.33026,2023-05-06,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.583633,-76.33026,2023-05-06,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.583633,-76.33026,2023-05-06,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.583633,-76.33026,2023-05-06,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.164677,-76.018005,2023-05-15,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-12.252873,-75.81149,2023-05-24,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-12.372423,-75.75166,2023-05-23,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.557474,-76.27583,2023-06-08,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.557474,-76.27583,2023-06-08,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2023-06-22,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2023-06-27,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.603326,-76.20338,2023-06-06,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2023-06-27,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.755806,-76.045,2023-07-23,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2023-07-23,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2023-07-23,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.467018,-76.06379,2023-08-10T14:21,2023,HUMAN_OBSERVATION,31137.0
Cinclodes palliatus,-11.577678,-76.26637,2023-08-24,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.569814,-76.34358,2023-08-31,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.603326,-76.20338,2023-08-10,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571391,-76.26088,2023-08-31,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2023-08-24,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.603326,-76.20338,2023-08-10,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2023-08-26,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.58,-76.36,2023-09-05,2023,HUMAN_OBSERVATION,1000.0
Cinclodes palliatus,-11.576038,-76.14919,2023-09-14,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2023-09-15,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571403,-76.25902,2023-09-15,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2023-09-01,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571403,-76.25902,2023-09-15,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2023-09-15,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580433,-76.26234,2023-09-07,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.643842,-76.34073,2023-09-22,2023,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2023-10-26,2023,HUMAN_OBSERVATION,
