decimalLatitude,decimalLongitude,bio_4,bio_5,bio_7,bio_9,bio_18,elevation,presencia,estrategia_pseudo
-0.8602881147699577,-79.1779581640913,70.51747,28.986,10.688,22.618834,1497.0,338,0,ambiental
-1.216493602426933,-79.38635967114932,78.39362,30.355999,10.924,23.8415,1272.0,83,0,ambiental
-13.157231246522835,-70.62113038097618,90.79786,29.486,13.320999,22.288668,1571.0,752,0,ambiental
-12.538290312293778,-70.39123842093615,94.9923,31.362,13.445999,23.675,1133.0,253,0,ambiental
-9.308478520441726,-75.304864961241,22.243315,32.382,12.372999,26.135,977.0,279,0,ambiental
-0.6953586541835328,-79.28529593635747,74.944916,29.337,10.565001,22.9165,1499.0,267,0,ambiental
-13.078687525763424,-70.91993401903028,85.15018,29.769001,13.283001,22.0635,1262.0,696,0,ambiental
-9.229660383756151,-75.04194668030574,23.383463,32.632,12.468,26.349,803.0,245,0,ambiental
-0.6867385722413566,-79.3417708532115,76.66614,30.062,10.731001,23.478666,1450.0,161,0,ambiental
-8.543955849754006,-75.14541194140709,19.456924,32.934002,12.588003,26.463667,774.0,238,0,ambiental
-1.3699183327948354,-79.63163236185747,88.32266,30.644001,11.213001,24.051167,1180.0,30,0,ambiental
-12.510117519520596,-70.76683789756746,88.14128,31.177,13.149,23.621834,1138.0,321,0,ambiental
-12.70346101072485,-70.66273234347256,90.15942,31.132,12.979,23.629,1263.0,287,0,ambiental
-9.184916238980552,-75.2241363009945,21.384642,32.504,12.333002,26.295168,950.0,259,0,ambiental
-1.6143725497472268,-79.54113245652,94.38178,30.797998,11.261999,24.054667,1190.0,11,0,ambiental
-8.467315777993447,-75.35586629281308,16.662518,32.895,12.589001,26.540165,911.0,273,0,ambiental
-0.6651201035922014,-79.52777760710434,72.17182,30.26,10.528999,23.865168,1313.0,124,0,ambiental
-12.96448262762608,-70.06741739644578,98.05302,31.278,13.380001,23.555666,1224.0,259,0,ambiental
-12.767408848671923,-70.04067480939742,97.119576,31.289999,13.379999,23.629667,1147.0,246,0,ambiental
-2.395063161437648,-79.39539107933405,98.9644,31.314999,12.425999,23.830667,1077.0,53,0,ambiental
