decimalLatitude,decimalLongitude,bio_2,bio_3,bio_4,bio_5,bio_15,bio_18,presencia,estrategia_pseudo
-2.5855809649308856,-80.28307717547284,8.906888008117676,69.93070220947266,143.9815216064453,30.920408248901367,133.91712951660156,287.0,0,aleatoria
-2.6842437357623155,-69.42012280429783,8.317500114440918,83.1084976196289,38.66257095336914,31.336000442504883,15.67959213256836,712.0,0,aleatoria
-13.192353495898168,-68.15200361905342,10.49766731262207,68.63462829589844,121.21490478515625,32.31999969482422,57.73533630371094,613.0,0,aleatoria
-16.549123157313907,-71.66218764596407,14.75291633605957,85.63833618164062,68.76778411865234,22.10099983215332,140.6407012939453,40.0,0,aleatoria
-11.587350201909072,-73.4774461784298,11.890250205993652,83.10791015625,59.24147033691406,28.41200065612793,47.22901153564453,455.0,0,aleatoria
-10.29152990004946,-78.12422278295573,6.616666793823242,52.93333053588867,214.4654998779297,26.200000762939453,32.090782165527344,5.0,0,aleatoria
-10.537199133314632,-77.6546275771562,9.548749923706055,65.85344696044922,192.82125854492188,25.8439998626709,109.36144256591797,45.0,0,aleatoria
-13.065286959788889,-75.0245010687707,13.842249870300293,76.16931915283203,103.86067199707031,10.027999877929688,80.69230651855469,448.0,0,aleatoria
-11.676240989091228,-74.89047329842035,13.160833358764648,78.63317108154297,47.10881042480469,17.138999938964844,57.19035720825195,264.0,0,aleatoria
-7.390431875728355,-73.74315069409954,10.16450023651123,81.10836791992188,47.38269805908203,31.076000213623047,36.92788314819336,705.0,0,aleatoria
-5.409260832174823,-70.56322596910213,9.205917358398438,81.25257873535156,42.22181701660156,31.319000244140625,31.86708641052246,606.0,0,aleatoria
-5.631461622761245,-74.89817761592003,10.172333717346191,84.20806121826172,36.49370574951172,32.92399978637695,28.844030380249023,678.0,0,aleatoria
-2.357547260590908,-70.87247533849644,8.346333503723145,83.33000183105469,42.68696594238281,31.267000198364258,21.632530212402344,703.0,0,aleatoria
